nbClients: 15
nbTrips: 3
VehCapacity: 120
ClientDemands: 
20	30	10	20	10	10	30	20	10	30	30	20	30	10	20
ServiceTimes: 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TravelTimes: 
0	15	38	38	52	85	61	73	51	85	72	8	102	33	80	18
15	0	32	25	52	72	54	58	38	71	57	8	90	33	66	14
38	32	0	22	85	91	83	64	28	65	58	38	109	66	55	47
38	25	22	0	73	69	65	43	13	49	38	33	86	54	42	38
52	52	85	73	0	71	32	83	84	105	87	48	82	19	106	38
85	72	91	69	71	0	39	36	68	58	45	77	17	67	67	69
61	54	83	65	32	39	0	58	71	81	64	54	50	33	85	43
73	58	64	43	83	36	58	0	37	24	9	66	50	70	31	63
51	38	28	13	84	68	71	37	0	37	30	46	85	66	30	50
85	71	65	49	105	58	81	24	37	0	17	79	71	90	12	79
72	57	58	38	87	45	64	9	30	17	0	65	60	73	22	63
8	8	38	33	48	77	54	66	46	79	65	0	94	29	75	11
102	90	109	86	82	17	50	50	85	71	60	94	0	81	81	85
33	33	66	54	19	67	33	70	66	90	73	29	81	0	90	18
80	66	55	42	106	67	85	31	30	12	22	75	81	90	0	76
18	14	47	38	38	69	43	63	50	79	63	11	85	18	76	0
