nbClients: 15
nbTrips: 3
VehCapacity: 120
ClientDemands: 
10	30	20	20	30	20	30	10	10	10	10	30	30	20	20
ServiceTimes: 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TravelTimes: 
0	37	78	97	30	61	19	86	57	26	86	97	29	45	46	96
37	0	102	96	67	64	38	77	32	53	76	106	42	8	53	108
78	102	0	66	61	54	65	76	96	52	81	45	59	111	53	36
97	96	66	0	101	36	78	23	71	78	28	26	68	102	51	36
30	67	61	101	0	68	34	96	81	24	99	93	41	75	54	89
61	64	54	36	68	0	42	29	46	43	32	42	32	71	15	46
19	38	65	78	34	42	0	67	47	15	68	79	10	47	27	78
86	77	76	23	96	29	67	0	49	72	5	46	58	83	42	54
57	32	96	71	81	46	47	49	0	60	47	87	43	35	43	92
26	53	52	78	24	43	15	72	60	0	74	74	17	62	29	71
86	76	81	28	99	32	68	5	47	74	0	51	59	81	44	60
97	106	45	26	93	42	79	46	87	74	51	0	69	113	54	10
29	42	59	68	41	32	10	58	43	17	59	69	0	51	17	69
45	8	111	102	75	71	47	83	35	62	81	113	51	0	61	116
46	53	53	51	54	15	27	42	43	29	44	54	17	61	0	55
96	108	36	36	89	46	78	54	92	71	60	10	69	116	55	0
